Date,Open,High,Low,Close,Close_P10,Close_P90
2026-01-26,430.5,434.35714285714283,425.6188350556978,429.4759779128406,425.8741282507037,433.9205645579939
2026-01-27,429.4759779128406,433.33312076998345,423.2553151666346,427.11245802377744,424.2012209316068,430.69454861521024
2026-01-28,427.11245802377744,430.96960088092027,420.7228621723638,424.58000502950665,421.8830214005528,428.08775394098205
2026-01-29,424.58000502950665,428.4371478866495,419.2454847735439,423.10262763068675,418.64406873293143,427.49188319352817
2026-01-30,423.10262763068675,426.9597704878296,417.8328696262188,421.6900124833616,417.09735109440146,426.75754305794044
2026-02-02,421.6900124833616,425.54715534050445,417.306303038391,421.1634458955338,415.63382943283574,426.48638974001534
2026-02-03,421.1634458955338,425.02058875267664,414.4663493446193,418.3234922017621,416.530893272326,422.64617122952495
2026-02-04,418.3234922017621,422.18063505890495,412.81716130655786,416.6743041637007,414.0303171929403,420.9247879361776
2026-02-05,416.6743041637007,420.53144702084353,412.24597325753854,416.10311611468137,412.6586924676238,419.6752831540198
2026-02-06,416.10311611468137,419.9602589718242,411.30912878360846,415.1662716407513,412.21539323938055,418.42121753840127
2026-02-09,415.1662716407513,419.0234144978941,410.4153325560748,414.27247541321765,411.0611328063741,417.9449936884423
2026-02-10,414.27247541321765,418.1296182703605,409.6122584515846,413.4694013087274,410.6012546236453,416.7972119995244
2026-02-11,413.4694013087274,417.32654416587025,408.1851294052912,412.04227226243404,408.7971039646189,415.4922611680513
2026-02-12,412.04227226243404,415.8994151195769,406.8038530858317,410.6609959429745,407.19659044520694,415.3878557761686
2026-02-13,410.6609959429745,414.51813880011736,406.32659985720795,410.1837427143508,405.54720117085975,414.87197408663747
2026-02-16,410.1837427143508,414.0408855714936,405.570087007571,409.4272298647138,404.59101590680143,415.87027236874945
2026-02-17,409.4272298647138,413.28437272185664,404.37256061765635,408.2297034747992,404.81906572757345,411.8501555553757
2026-02-18,408.2297034747992,412.086846331942,403.50172069970466,407.3588635568475,403.5582915973726,410.86376462141624
2026-02-19,407.3588635568475,411.2160064139903,402.6164343408948,406.4735771980376,402.52232855038307,410.1982583947332
2026-02-20,406.4735771980376,410.33072005518045,402.1521988895106,406.00934174665343,401.620542384124,409.5633294920179
2026-02-23,406.00934174665343,409.86648460379627,401.1406124671161,404.99775532425895,400.34441506923554,408.4756460322879
2026-02-24,404.99775532425895,408.8548981814018,400.01237746051237,403.8695203176552,399.8712691739713,407.0547084357224
2026-02-25,403.8695203176552,407.72666317479803,398.92421489878467,402.7813577559275,399.1109863973671,406.24383195554407
2026-02-26,402.7813577559275,406.63850061307033,397.78418908683943,401.64133194398227,398.1129328450439,405.2223546902193
2026-02-27,401.64133194398227,405.4984748011251,397.1036217602626,400.96076461740546,396.9003588668893,404.5824740758732
